Vocabulary Size:  27710
Total number of model parameters: 25.09M
| epoch   5 | 14500/15983 batches | lr 5.00 | ms/batch  7.70 | loss  6.48 | ppl   654.41
| epoch   5 | 15000/15983 batches | lr 5.00 | ms/batch  7.65 | loss  6.47 | ppl   645.48
| epoch   5 | 15500/15983 batches | lr 5.00 | ms/batch  7.69 | loss  6.50 | ppl   665.21
-----------------------------------------------------------------------------------------
| end of epoch   5 | time: 124.97s | valid loss  6.63 | valid ppl   756.34
-----------------------------------------------------------------------------------------
| epoch   6 |   500/15983 batches | lr 1.25 | ms/batch  7.75 | loss  6.54 | ppl   693.31
| epoch   6 |  1000/15983 batches | lr 1.25 | ms/batch  7.73 | loss  6.55 | ppl   701.47
| epoch   6 |  1500/15983 batches | lr 1.25 | ms/batch  7.70 | loss  6.58 | ppl   721.14
| epoch   6 |  2000/15983 batches | lr 1.25 | ms/batch  7.75 | loss  6.51 | ppl   672.66
| epoch   6 |  2500/15983 batches | lr 1.25 | ms/batch  7.75 | loss  6.46 | ppl   638.83
| epoch   6 |  3000/15983 batches | lr 1.25 | ms/batch  7.71 | loss  6.53 | ppl   688.83
| epoch   6 |  3500/15983 batches | lr 1.25 | ms/batch  7.73 | loss  6.55 | ppl   698.67
| epoch   6 |  4000/15983 batches | lr 1.25 | ms/batch  7.64 | loss  6.58 | ppl   719.07
| epoch   6 |  4500/15983 batches | lr 1.25 | ms/batch  7.68 | loss  6.59 | ppl   729.37
| epoch   6 |  5000/15983 batches | lr 1.25 | ms/batch  7.73 | loss  6.59 | ppl   731.06
| epoch   6 |  5500/15983 batches | lr 1.25 | ms/batch  7.71 | loss  6.56 | ppl   709.35
| epoch   6 |  6000/15983 batches | lr 1.25 | ms/batch  7.71 | loss  6.57 | ppl   712.68
| epoch   6 |  6500/15983 batches | lr 1.25 | ms/batch  7.71 | loss  6.53 | ppl   687.34
| epoch   6 |  7000/15983 batches | lr 1.25 | ms/batch  7.77 | loss  6.55 | ppl   699.05
| epoch   6 |  7500/15983 batches | lr 1.25 | ms/batch  7.70 | loss  6.53 | ppl   685.58
| epoch   6 |  8000/15983 batches | lr 1.25 | ms/batch  7.67 | loss  6.58 | ppl   719.13
| epoch   6 |  8500/15983 batches | lr 1.25 | ms/batch  7.77 | loss  6.53 | ppl   682.23
| epoch   6 |  9000/15983 batches | lr 1.25 | ms/batch  7.75 | loss  6.50 | ppl   662.36
| epoch   6 |  9500/15983 batches | lr 1.25 | ms/batch  7.73 | loss  6.52 | ppl   678.43
| epoch   6 | 10000/15983 batches | lr 1.25 | ms/batch  7.74 | loss  6.54 | ppl   688.90
| epoch   6 | 10500/15983 batches | lr 1.25 | ms/batch  7.67 | loss  6.55 | ppl   695.93
| epoch   6 | 11000/15983 batches | lr 1.25 | ms/batch  7.75 | loss  6.52 | ppl   679.94
| epoch   6 | 11500/15983 batches | lr 1.25 | ms/batch  7.71 | loss  6.53 | ppl   682.09
| epoch   6 | 12000/15983 batches | lr 1.25 | ms/batch  7.72 | loss  6.50 | ppl   663.13
| epoch   6 | 12500/15983 batches | lr 1.25 | ms/batch  7.66 | loss  6.47 | ppl   648.31
| epoch   6 | 13000/15983 batches | lr 1.25 | ms/batch  7.69 | loss  6.51 | ppl   669.03
| epoch   6 | 13500/15983 batches | lr 1.25 | ms/batch  7.66 | loss  6.53 | ppl   684.24
| epoch   6 | 14000/15983 batches | lr 1.25 | ms/batch  7.65 | loss  6.55 | ppl   701.77
| epoch   6 | 14500/15983 batches | lr 1.25 | ms/batch  7.62 | loss  6.47 | ppl   644.76
| epoch   6 | 15000/15983 batches | lr 1.25 | ms/batch  7.68 | loss  6.45 | ppl   635.36
| epoch   6 | 15500/15983 batches | lr 1.25 | ms/batch  7.72 | loss  6.48 | ppl   653.44
-----------------------------------------------------------------------------------------
| end of epoch   6 | time: 123.95s | valid loss  6.61 | valid ppl   739.84
-----------------------------------------------------------------------------------------
=========================================================================================
| End of training | test loss  6.65 | test ppl   770.15
=========================================================================================
