We are using cuda:1
In train stage: data size: torch.Size([40, 1, 28, 28])
In test stage: data size: torch.Size([40, 1, 28, 28])
Train batch num: 1500, test batch num: 250
   Iter[1100] loss:6264.1396484375, rec loss:5677.56103515625, kl loss:586.5784912109375
   Iter[1200] loss:6001.65478515625, rec loss:5411.1845703125, kl loss:590.4703979492188
   Iter[1300] loss:6330.724609375, rec loss:5680.09375, kl loss:650.6306762695312
   Iter[1400] loss:6254.51416015625, rec loss:5625.17333984375, kl loss:629.3410034179688
   Iter[1500] loss:5909.42138671875, rec loss:5228.14111328125, kl loss:681.2802734375
>> Epoch[15]: loss: 6242.480855143229
   Iter[100] loss:5786.06884765625, rec loss:5105.1689453125, kl loss:680.8999633789062
   Iter[200] loss:6054.314453125, rec loss:5379.85693359375, kl loss:674.457275390625
   Iter[300] loss:6158.85498046875, rec loss:5561.86865234375, kl loss:596.986328125
   Iter[400] loss:6146.9609375, rec loss:5539.1220703125, kl loss:607.8388671875
   Iter[500] loss:5727.658203125, rec loss:5115.3408203125, kl loss:612.317138671875
   Iter[600] loss:6512.15625, rec loss:5871.71728515625, kl loss:640.4389038085938
   Iter[700] loss:6198.7236328125, rec loss:5489.1953125, kl loss:709.5282592773438
   Iter[800] loss:6330.318359375, rec loss:5738.8662109375, kl loss:591.4520874023438
   Iter[900] loss:5856.43701171875, rec loss:5168.51513671875, kl loss:687.9219360351562
   Iter[1000] loss:6405.904296875, rec loss:5700.38818359375, kl loss:705.515869140625
   Iter[1100] loss:6342.67529296875, rec loss:5722.013671875, kl loss:620.6618041992188
   Iter[1200] loss:6348.14892578125, rec loss:5643.4873046875, kl loss:704.6614990234375
   Iter[1300] loss:6252.478515625, rec loss:5608.12744140625, kl loss:644.3509521484375
   Iter[1400] loss:6854.72900390625, rec loss:6178.779296875, kl loss:675.9497680664062
   Iter[1500] loss:6129.505859375, rec loss:5466.8232421875, kl loss:662.6827392578125
>> Epoch[16]: loss: 6200.935465820313
   Iter[100] loss:6620.05419921875, rec loss:5900.6513671875, kl loss:719.4027099609375
   Iter[200] loss:5997.33203125, rec loss:5365.05078125, kl loss:632.281005859375
   Iter[300] loss:6825.7861328125, rec loss:6246.0322265625, kl loss:579.753662109375
   Iter[400] loss:6237.1162109375, rec loss:5631.7841796875, kl loss:605.3321533203125
   Iter[500] loss:6128.3193359375, rec loss:5495.2568359375, kl loss:633.0626831054688
   Iter[600] loss:5988.685546875, rec loss:5393.92724609375, kl loss:594.7581787109375
   Iter[700] loss:6240.126953125, rec loss:5635.0439453125, kl loss:605.0828857421875
   Iter[800] loss:6025.68994140625, rec loss:5408.05224609375, kl loss:617.6375122070312
   Iter[900] loss:6030.6611328125, rec loss:5387.0703125, kl loss:643.5908203125
   Iter[1000] loss:6223.73193359375, rec loss:5577.4970703125, kl loss:646.2348022460938
   Iter[1100] loss:6285.7158203125, rec loss:5672.578125, kl loss:613.1375122070312
   Iter[1200] loss:5992.26708984375, rec loss:5321.244140625, kl loss:671.02294921875
   Iter[1300] loss:6362.64501953125, rec loss:5687.94140625, kl loss:674.7035522460938
   Iter[1400] loss:5974.07275390625, rec loss:5372.04541015625, kl loss:602.0272827148438
   Iter[1500] loss:6508.99658203125, rec loss:5805.7158203125, kl loss:703.2806396484375
>> Epoch[17]: loss: 6162.361216796875
   Iter[100] loss:5825.0625, rec loss:5133.978515625, kl loss:691.0838012695312
   Iter[200] loss:6330.2314453125, rec loss:5659.04541015625, kl loss:671.186279296875
   Iter[300] loss:6515.38671875, rec loss:5835.115234375, kl loss:680.2713623046875
   Iter[400] loss:6325.796875, rec loss:5665.41064453125, kl loss:660.3860473632812
   Iter[500] loss:6394.8349609375, rec loss:5732.25244140625, kl loss:662.5825805664062
   Iter[600] loss:6300.30224609375, rec loss:5649.1103515625, kl loss:651.1920776367188
   Iter[700] loss:6038.8359375, rec loss:5418.5146484375, kl loss:620.321044921875
   Iter[800] loss:6336.9296875, rec loss:5694.6611328125, kl loss:642.2685546875
   Iter[900] loss:6440.396484375, rec loss:5796.9765625, kl loss:643.4197998046875
   Iter[1000] loss:5998.43896484375, rec loss:5350.6015625, kl loss:647.8372192382812
   Iter[1100] loss:5899.3076171875, rec loss:5175.9189453125, kl loss:723.388916015625
   Iter[1200] loss:5648.00634765625, rec loss:5013.7861328125, kl loss:634.2202758789062
   Iter[1300] loss:5932.3271484375, rec loss:5304.2919921875, kl loss:628.0350341796875
   Iter[1400] loss:5766.4501953125, rec loss:5058.02978515625, kl loss:708.420166015625
   Iter[1500] loss:6276.578125, rec loss:5587.9638671875, kl loss:688.6141357421875
>> Epoch[18]: loss: 6132.811324869792
   Iter[100] loss:6216.48486328125, rec loss:5526.998046875, kl loss:689.48681640625
   Iter[200] loss:6024.6298828125, rec loss:5404.375, kl loss:620.2550048828125
   Iter[300] loss:6288.87158203125, rec loss:5581.119140625, kl loss:707.75244140625
   Iter[400] loss:5905.23583984375, rec loss:5228.8115234375, kl loss:676.4243774414062
   Iter[500] loss:5873.453125, rec loss:5192.37158203125, kl loss:681.0816650390625
   Iter[600] loss:6054.59912109375, rec loss:5360.86474609375, kl loss:693.7345581054688
   Iter[700] loss:5992.9697265625, rec loss:5313.74755859375, kl loss:679.2222900390625
   Iter[800] loss:5844.96435546875, rec loss:5151.33740234375, kl loss:693.6270751953125
   Iter[900] loss:6146.693359375, rec loss:5469.17578125, kl loss:677.517333984375
   Iter[1000] loss:6399.3251953125, rec loss:5686.7333984375, kl loss:712.5918579101562
   Iter[1100] loss:6259.96630859375, rec loss:5637.4423828125, kl loss:622.5240478515625
   Iter[1200] loss:5793.146484375, rec loss:5137.1572265625, kl loss:655.989501953125
   Iter[1300] loss:6514.30029296875, rec loss:5848.306640625, kl loss:665.9935302734375
   Iter[1400] loss:5850.70166015625, rec loss:5188.41064453125, kl loss:662.2908325195312
   Iter[1500] loss:6588.15087890625, rec loss:5881.3388671875, kl loss:706.8118896484375
>> Epoch[19]: loss: 6104.8024466145835
   Iter[100] loss:6287.90478515625, rec loss:5618.1533203125, kl loss:669.7515869140625
   Iter[200] loss:6531.990234375, rec loss:5847.3544921875, kl loss:684.6357421875
   Iter[300] loss:6281.85888671875, rec loss:5623.3994140625, kl loss:658.4595947265625
   Iter[400] loss:6398.6982421875, rec loss:5710.353515625, kl loss:688.344482421875
   Iter[500] loss:5863.2900390625, rec loss:5222.19091796875, kl loss:641.0989379882812
   Iter[600] loss:6331.43310546875, rec loss:5627.87890625, kl loss:703.5541381835938
   Iter[700] loss:6290.400390625, rec loss:5622.1318359375, kl loss:668.268310546875
   Iter[800] loss:6158.51904296875, rec loss:5445.74169921875, kl loss:712.77734375
   Iter[900] loss:6359.6396484375, rec loss:5697.1474609375, kl loss:662.491943359375
   Iter[1000] loss:6077.00244140625, rec loss:5382.97314453125, kl loss:694.0291748046875
   Iter[1100] loss:5939.2109375, rec loss:5214.98291015625, kl loss:724.22802734375
   Iter[1200] loss:6032.56982421875, rec loss:5341.1103515625, kl loss:691.45947265625
   Iter[1300] loss:6195.2265625, rec loss:5482.453125, kl loss:712.773193359375
   Iter[1400] loss:6393.05859375, rec loss:5699.2119140625, kl loss:693.8466186523438
   Iter[1500] loss:6113.9716796875, rec loss:5448.8515625, kl loss:665.1203002929688
>> Epoch[20]: loss: 6075.327054361979
   Iter[100] loss:6426.7763671875, rec loss:5681.58544921875, kl loss:745.190673828125
   Iter[200] loss:5855.48388671875, rec loss:5198.419921875, kl loss:657.06396484375
